Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,20180504,1751.3,1390.0,0,2018
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,20180515,1726.2,1370.0,5,2018
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,20180606,1625.0,1300.0,0,2018
Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,20180613,1193.8,955.0,0,2018
Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,20180619,2778.8,2223.0,0,2018
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,20180722,1981.6,1585.0,0,2018
Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,20180729,1063.8,851.0,0,2018
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,20180807,1281.4,1025.0,0,2018
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,20180916,30000.0,24000.0,53,2018
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,20181011,31218.8,24975.0,49,2018
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,20181230,3797.4,2990.0,0,2018
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,20181231,30000.0,24000.0,106,2018
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,20190225,1547.2,1237.5,2,2019
Texas Hail Storm (March 2019),Severe Storm,2019-03-22,20190324,1903.4,1535.0,0,2019
Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,20190331,13408.9,10727.0,3,2019
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,20190414,1552.5,1252.0,7,2019
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,20190513,1862.4,1514.0,0,2019
Central Severe Weather (May 2019),Severe Storm,2019-05-16,20190518,1196.9,973.0,0,2019
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,20190529,5655.6,4598.0,3,2019
Arkansas River Flooding (June 2019),Flooding,2019-05-20,20190614,3720.8,3025.0,5,2019
Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,20190705,1239.8,1008.0,0,2019
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,20190731,7649.6,6169.0,4,2019
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,20190906,1980.3,1610.0,10,2019
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,20190921,6150.0,5000.0,5,2019
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,20191020,2113.1,1718.0,2,2019
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,20191130,5535.0,4500.0,3,2019
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,20200112,1401.8,1149.0,10,2020
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,20200207,1532.2,1256.0,3,2020
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,20200304,2850.0,2336.0,25,2020
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,20200328,3120.9,2558.0,0,2020
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,20200408,3543.9,2881.0,0,2020
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,20200413,4236.2,3444.0,35,2020
